current_final_score,score_last_week,score_two_weeks_ago,score_change_7d,score_change_14d,assignments_submitted,assignments_total,submission_rate,days_since_last_grade,class_average,score_vs_class_avg,is_at_risk
21.08,21.19,17.11,-0.11,3.97,4,4,1.0,26,61.17,-40.09,1
67.1,63.84,58.61,3.26,8.49,7,12,0.5833,4,63.56,3.54,0
96.39,100.0,88.91,-11.88,7.48,14,14,1.0,4,66.1,30.29,0
73.47,71.72,64.47,1.75,8.99,7,11,0.6364,2,60.03,13.43,0
51.89,36.03,66.92,15.87,-15.03,5,5,1.0,2,77.74,-25.84,1
75.6,77.77,72.8,-2.17,2.8,1,3,0.3333,5,55.86,19.74,0
95.56,100.0,95.27,-5.46,0.29,6,6,1.0,5,69.72,25.84,0
63.72,59.88,70.97,3.84,-7.25,9,13,0.6923,0,64.06,-0.34,0
92.93,100.0,100.0,-13.2,-17.12,5,6,0.8333,4,66.91,26.02,0
52.85,58.99,60.8,-6.14,-7.94,6,8,0.75,2,55.77,-2.92,0
60.6,55.28,52.7,5.31,7.89,8,8,1.0,5,73.07,-12.47,0
56.45,62.28,70.25,-5.83,-13.8,2,4,0.5,2,60.27,-3.81,0
50.43,53.64,41.86,-3.21,8.57,7,9,0.7778,0,63.54,-13.12,0
53.31,50.51,48.45,2.8,4.86,3,3,1.0,1,57.61,-4.3,0
84.71,78.94,95.99,5.77,-11.27,6,8,0.75,2,68.73,15.98,0
77.7,81.99,74.34,-4.3,3.36,3,4,0.75,3,72.68,5.02,0
22.55,32.2,30.18,-9.65,-7.63,1,14,0.0714,11,65.03,-42.48,1
57.31,50.41,54.51,6.9,2.8,1,3,0.3333,5,79.47,-22.16,0
67.18,72.3,63.82,-5.13,3.35,3,3,1.0,6,76.67,-9.5,0
89.43,77.12,81.25,12.31,8.18,3,4,0.75,1,72.85,16.58,0
88.59,82.23,60.99,6.36,27.6,13,13,1.0,1,65.04,23.55,0
50.87,47.53,42.75,3.34,8.12,9,11,0.8182,0,62.94,-12.07,0
37.89,39.86,36.34,-1.97,1.55,0,4,0.0,10,61.17,-23.28,1
65.18,66.82,72.96,-1.64,-7.78,3,5,0.6,2,76.66,-11.48,0
93.55,94.22,87.13,-0.67,6.41,7,8,0.875,2,57.23,36.31,0
73.7,64.29,86.98,9.41,-13.28,7,10,0.7,6,59.17,14.53,0
81.99,81.45,80.01,0.53,1.97,10,11,0.9091,3,74.55,7.44,0
52.31,49.87,53.56,2.45,-1.25,8,14,0.5714,2,66.44,-14.13,0
32.9,35.95,34.38,-3.05,-1.48,1,11,0.0909,9,75.55,-42.65,1
60.18,62.4,39.14,-2.22,21.04,6,10,0.6,3,71.95,-11.77,0
64.17,61.92,73.19,2.26,-9.02,4,4,1.0,3,79.36,-15.19,0
43.88,29.07,53.8,14.8,-9.92,3,7,0.4286,15,64.19,-20.32,1
23.9,34.37,22.71,-10.46,1.19,1,7,0.1429,18,61.05,-37.14,1
90.24,89.18,89.41,1.06,0.82,3,5,0.6,2,65.11,25.13,0
78.57,78.68,81.2,-0.12,-2.63,4,6,0.6667,3,64.94,13.63,0
71.84,77.03,79.03,-5.2,-7.19,9,14,0.6429,3,58.14,13.7,0
46.96,48.38,45.03,-1.43,1.92,6,8,0.75,25,63.55,-16.59,1
60.72,54.98,41.53,5.73,19.19,11,13,0.8462,3,68.71,-7.99,0
82.43,74.86,80.63,7.57,1.8,5,9,0.5556,4,64.95,17.48,0
53.15,57.61,61.12,-4.46,-7.97,12,14,0.8571,6,56.49,-3.34,0
77.95,65.19,73.62,12.76,4.33,13,13,1.0,3,74.42,3.52,0
45.4,40.4,42.88,5.0,2.52,9,11,0.8182,17,61.91,-16.51,1
75.31,68.57,70.13,6.74,5.18,4,6,0.6667,5,66.75,8.56,0
83.97,90.51,85.53,-6.53,-1.56,3,4,0.75,2,74.03,9.94,0
95.56,94.91,91.44,0.65,4.12,5,8,0.625,5,68.66,26.89,0
52.11,53.31,64.43,-1.2,-12.32,12,14,0.8571,2,71.86,-19.75,0
54.82,69.08,48.84,-14.25,5.98,13,14,0.9286,0,59.92,-5.1,0
97.75,100.0,93.13,-9.59,4.62,7,11,0.6364,2,59.4,38.35,0
20.46,25.39,7.29,-4.93,13.17,2,3,0.6667,15,68.04,-47.58,1
86.35,86.86,98.78,-0.51,-12.43,5,6,0.8333,5,71.02,15.34,0
57.81,48.9,54.25,8.9,3.56,7,8,0.875,0,75.89,-18.08,0
68.1,59.89,65.76,8.2,2.33,7,7,1.0,1,63.04,5.05,0
84.99,85.91,93.71,-0.92,-8.73,10,11,0.9091,2,77.37,7.62,0
51.55,51.59,45.4,-0.04,6.15,10,11,0.9091,6,64.29,-12.74,0
86.2,97.4,76.13,-11.2,10.08,2,4,0.5,3,64.66,21.55,1
69.95,74.77,62.49,-4.82,7.46,1,3,0.3333,5,76.67,-6.72,0
95.62,100.0,75.79,-9.24,19.83,3,5,0.6,2,63.16,32.46,0
56.9,51.63,58.43,5.28,-1.52,11,12,0.9167,4,74.08,-17.17,0
92.67,100.0,90.53,-8.51,2.14,6,10,0.6,2,69.85,22.82,0
42.26,50.7,51.57,-8.43,-9.31,4,5,0.8,5,65.24,-22.97,1
90.12,82.7,100.0,7.41,-10.71,7,10,0.7,3,58.79,31.33,0
75.88,79.31,92.54,-3.44,-16.67,6,7,0.8571,5,68.67,7.21,0
78.34,79.38,83.86,-1.04,-5.52,7,11,0.6364,6,60.09,18.25,0
35.31,38.87,44.97,-3.56,-9.66,3,5,0.6,19,65.4,-30.09,1
79.26,84.39,88.5,-5.12,-9.24,11,11,1.0,2,79.99,-0.73,0
60.58,59.06,44.89,1.52,15.69,6,10,0.6,2,65.36,-4.78,0
50.99,50.19,68.48,0.8,-17.49,3,3,1.0,1,67.05,-16.05,1
95.56,100.0,92.26,-5.55,3.3,5,7,0.7143,0,67.85,27.72,0
67.73,61.23,57.77,6.49,9.96,12,13,0.9231,0,58.05,9.67,0
49.77,51.0,50.45,-1.23,-0.68,8,11,0.7273,17,60.33,-10.57,1
57.55,55.68,62.04,1.87,-4.49,5,9,0.5556,0,64.51,-6.96,0
47.52,51.79,33.07,-4.27,14.44,2,5,0.4,24,58.11,-10.59,1
79.56,79.24,50.33,0.32,29.23,4,8,0.5,0,79.18,0.39,0
37.67,33.47,33.46,4.19,4.21,2,5,0.4,16,60.67,-23.0,1
88.82,82.5,73.89,6.32,14.94,3,4,0.75,2,67.54,21.28,0
30.95,30.79,29.93,0.16,1.02,3,6,0.5,5,68.72,-37.77,1
64.73,57.23,79.88,7.5,-15.15,1,3,0.3333,0,76.95,-12.22,1
61.86,65.9,64.2,-4.04,-2.33,8,11,0.7273,5,63.31,-1.45,0
33.09,32.13,28.07,0.96,5.02,6,8,0.75,19,57.9,-24.82,1
87.69,85.15,89.37,2.55,-1.68,6,11,0.5455,1,66.25,21.44,0
54.95,52.62,54.56,2.33,0.39,10,11,0.9091,1,72.61,-17.66,0
66.63,75.61,73.13,-8.98,-6.5,8,12,0.6667,0,73.5,-6.87,0
76.38,81.29,72.02,-4.9,4.36,7,9,0.7778,4,78.14,-1.76,0
35.06,37.47,16.36,-2.41,18.71,1,5,0.2,25,55.38,-20.31,1
62.04,54.9,51.91,7.14,10.14,4,8,0.5,2,61.78,0.27,0
91.57,88.26,88.17,3.31,3.41,12,13,0.9231,3,72.53,19.04,0
69.59,69.33,72.15,0.26,-2.56,1,3,0.3333,3,78.49,-8.9,0
45.4,36.85,38.42,8.55,6.98,5,8,0.625,21,67.45,-22.05,1
65.7,63.6,62.72,2.1,2.98,3,6,0.5,2,73.09,-7.39,0
40.63,31.22,27.73,9.41,12.9,1,12,0.0833,24,60.1,-19.47,1
89.28,89.73,91.7,-0.44,-2.42,6,7,0.8571,1,56.56,32.72,0
85.17,75.48,75.2,9.69,9.97,3,4,0.75,6,75.96,9.21,0
89.5,89.05,82.08,0.46,7.43,4,5,0.8,5,73.57,15.93,0
75.03,76.14,81.23,-1.11,-6.2,10,11,0.9091,5,74.99,0.04,0
91.53,85.53,93.9,6.0,-2.37,10,13,0.7692,5,65.69,25.84,0
81.17,84.46,72.57,-3.3,8.6,8,13,0.6154,0,60.03,21.14,0
69.57,72.41,69.87,-2.84,-0.31,14,14,1.0,0,74.11,-4.54,0
81.45,85.64,86.37,-4.2,-4.92,4,7,0.5714,1,78.56,2.89,0
84.59,85.84,71.91,-1.25,12.68,3,6,0.5,0,62.75,21.84,0
38.03,50.89,32.7,-12.87,5.33,3,12,0.25,28,74.73,-36.71,1
93.86,94.61,90.58,-0.75,3.28,7,12,0.5833,1,61.79,32.07,0
31.15,34.0,20.82,-2.85,10.33,5,11,0.4545,9,71.92,-40.77,1
91.22,93.56,75.31,-2.34,15.91,4,8,0.5,4,66.48,24.74,0
84.65,85.99,100.0,-1.33,-24.09,3,3,1.0,4,72.97,11.68,0
74.72,76.4,70.47,-1.69,4.25,10,12,0.8333,2,60.56,14.16,0
79.17,87.44,84.82,-8.27,-5.65,10,14,0.7143,4,65.37,13.8,0
91.83,96.91,74.63,-5.08,17.2,7,12,0.5833,4,67.5,24.33,0
91.79,88.49,69.59,3.29,22.19,1,3,0.3333,4,63.43,28.36,0
44.22,47.06,57.07,-2.84,-12.84,2,3,0.6667,11,74.32,-30.1,1
87.27,81.11,84.07,6.17,3.2,11,13,0.8462,2,69.02,18.25,0
83.05,81.37,65.47,1.68,17.59,1,3,0.3333,0,76.85,6.2,0
24.46,22.86,42.55,1.6,-18.09,2,5,0.4,6,65.11,-40.66,1
50.64,40.1,61.38,10.55,-10.74,4,4,1.0,1,56.67,-6.03,0
68.69,65.71,68.25,2.98,0.44,11,14,0.7857,0,79.54,-10.85,0
74.64,79.15,75.58,-4.5,-0.94,8,10,0.8,6,64.24,10.4,0
84.69,76.96,75.01,7.74,9.68,12,13,0.9231,2,75.78,8.91,0
67.92,72.49,65.43,-4.58,2.49,6,10,0.6,3,74.16,-6.25,0
87.53,83.03,81.29,4.51,6.24,10,12,0.8333,0,55.37,32.17,0
44.96,35.5,55.97,9.47,-11.01,5,14,0.3571,21,61.46,-16.49,1
70.79,67.61,66.67,3.18,4.12,5,7,0.7143,5,58.91,11.88,0
84.39,89.47,90.91,-5.09,-6.52,7,13,0.5385,4,60.37,24.01,0
93.58,100.0,93.27,-8.23,0.31,2,3,0.6667,1,58.34,35.23,0
71.64,72.13,66.2,-0.49,5.43,4,8,0.5,6,70.92,0.72,0
60.8,53.02,59.66,7.78,1.14,5,7,0.7143,5,60.47,0.33,0
62.7,56.44,57.33,6.27,5.37,6,6,1.0,6,79.58,-16.88,0
87.14,90.98,82.59,-3.85,4.55,6,10,0.6,4,61.49,25.65,0
50.77,48.67,66.42,2.1,-15.65,7,10,0.7,5,65.72,-14.95,1
38.0,40.63,21.67,-2.64,16.33,1,8,0.125,6,73.7,-35.7,1
83.93,80.31,73.51,3.61,10.42,3,5,0.6,2,61.04,22.89,0
34.39,27.1,40.37,7.29,-5.98,13,13,1.0,20,62.8,-28.41,1
20.6,19.16,15.76,1.44,4.84,6,6,1.0,19,67.79,-47.19,1
52.84,63.35,68.12,-10.51,-15.28,3,5,0.6,3,79.77,-26.92,1
71.23,76.14,55.91,-4.91,15.32,6,6,1.0,2,76.71,-5.48,0
67.83,58.73,54.32,9.1,13.51,6,7,0.8571,4,79.53,-11.7,0
88.61,84.46,72.64,4.15,15.97,9,13,0.6923,4,71.87,16.74,0
67.91,56.13,67.87,11.78,0.04,6,11,0.5455,5,61.88,6.03,0
42.26,49.49,38.52,-7.24,3.73,5,14,0.3571,26,69.49,-27.24,1
95.54,94.53,99.55,1.01,-4.01,3,3,1.0,2,72.49,23.05,0
88.53,88.27,82.95,0.26,5.58,7,10,0.7,5,77.04,11.49,0
90.02,93.91,87.83,-3.88,2.19,10,13,0.7692,2,56.3,33.72,0
34.82,33.65,42.4,1.17,-7.58,6,6,1.0,20,72.27,-37.45,1
74.08,66.8,79.11,7.28,-5.03,8,11,0.7273,2,55.75,18.32,0
79.89,80.09,75.34,-0.2,4.55,5,7,0.7143,5,63.38,16.5,0
54.14,52.08,51.05,2.06,3.08,4,5,0.8,2,74.74,-20.6,0
58.07,62.14,58.45,-4.07,-0.38,7,10,0.7,3,65.96,-7.89,0
97.29,94.03,100.0,3.26,-12.18,9,10,0.9,1,61.41,35.88,0
82.35,84.63,79.03,-2.28,3.32,5,8,0.625,6,62.56,19.79,0
88.58,87.16,99.21,1.42,-10.63,8,10,0.8,3,61.84,26.74,0
53.95,65.26,57.89,-11.31,-3.94,7,11,0.6364,4,65.47,-11.52,0
84.8,73.8,76.66,11.0,8.14,6,10,0.6,6,59.98,24.82,0
24.42,15.32,20.84,9.1,3.58,3,10,0.3,25,67.23,-42.81,1
73.64,66.16,74.26,7.48,-0.62,5,9,0.5556,2,74.99,-1.35,0
44.45,41.85,70.72,2.6,-26.27,0,10,0.0,21,59.39,-14.94,1
77.81,64.49,79.4,13.31,-1.59,6,6,1.0,6,78.31,-0.5,0
63.41,62.02,65.61,1.4,-2.2,3,5,0.6,5,75.64,-12.23,0
94.5,94.1,90.05,0.4,4.45,11,11,1.0,5,61.32,33.18,0
92.91,85.48,100.0,7.43,-8.77,5,7,0.7143,3,71.82,21.09,0
27.64,29.8,22.25,-2.16,5.39,3,8,0.375,17,70.59,-42.95,1
52.57,60.48,58.65,-7.92,-6.08,3,6,0.5,0,63.78,-11.21,0
37.01,42.63,43.69,-5.62,-6.68,10,12,0.8333,17,66.7,-29.69,1
86.51,86.78,98.65,-0.27,-12.14,4,4,1.0,0,72.6,13.91,0
68.04,69.34,49.51,-1.3,18.53,11,13,0.8462,5,60.11,7.93,0
74.51,69.9,72.35,4.61,2.15,10,12,0.8333,6,58.09,16.42,0
63.37,68.03,56.43,-4.66,6.93,8,14,0.5714,4,57.79,5.58,0
63.49,65.99,74.79,-2.5,-11.3,7,10,0.7,5,56.39,7.1,0
81.27,79.6,95.55,1.67,-14.27,4,7,0.5714,6,78.18,3.09,0
65.27,67.86,49.62,-2.59,15.65,6,10,0.6,0,60.86,4.41,0
51.44,50.89,48.92,0.55,2.52,5,5,1.0,3,69.93,-18.49,0
59.23,53.99,74.15,5.24,-14.92,6,7,0.8571,3,73.48,-14.25,0
63.52,57.57,53.13,5.95,10.38,8,9,0.8889,5,74.86,-11.34,0
56.83,51.73,61.37,5.1,-4.54,8,12,0.6667,0,78.39,-21.56,0
33.04,39.61,30.05,-6.57,2.98,1,11,0.0909,7,61.17,-28.13,1
81.77,76.82,73.61,4.95,8.16,9,12,0.75,2,62.36,19.42,0
52.95,54.13,38.17,-1.17,14.79,10,11,0.9091,3,65.28,-12.33,0
92.46,85.65,100.0,6.81,-11.06,2,3,0.6667,0,73.24,19.22,0
78.98,77.62,76.43,1.36,2.55,5,7,0.7143,4,68.29,10.7,0
73.66,68.97,89.9,4.68,-16.25,10,11,0.9091,0,64.75,8.9,0
52.17,57.65,50.29,-5.47,1.88,4,5,0.8,6,72.49,-20.32,0
76.91,72.02,84.06,4.89,-7.16,11,12,0.9167,4,66.6,10.31,0
54.32,45.22,48.3,9.1,6.02,10,14,0.7143,5,76.59,-22.27,0
50.56,46.49,42.65,4.07,7.91,7,8,0.875,1,74.84,-24.28,0
47.37,50.82,51.57,-3.45,-4.2,0,6,0.0,16,68.09,-20.72,1
54.63,61.09,52.42,-6.46,2.21,12,12,1.0,1,75.59,-20.96,0
72.91,80.64,86.88,-7.72,-13.97,1,3,0.3333,5,60.23,12.69,0
36.33,28.93,36.98,7.4,-0.65,5,10,0.5,17,66.48,-30.14,1
94.76,92.75,75.19,2.02,19.57,11,12,0.9167,1,65.19,29.57,0
42.97,42.62,38.51,0.35,4.47,6,9,0.6667,19,70.32,-27.35,1
81.77,83.06,88.07,-1.3,-6.3,5,6,0.8333,1,75.84,5.92,0
79.37,87.6,86.46,-8.23,-7.09,3,3,1.0,3,65.33,14.04,0
81.59,82.58,88.39,-0.99,-6.79,6,6,1.0,2,55.73,25.86,0
57.5,56.91,72.67,0.59,-15.17,4,4,1.0,2,60.78,-3.28,1
85.11,83.76,78.18,1.35,6.93,8,11,0.7273,5,73.81,11.3,0
82.52,72.76,87.54,9.76,-5.03,12,13,0.9231,4,71.45,11.07,0
53.01,55.39,55.67,-2.38,-2.66,6,9,0.6667,1,61.24,-8.23,0
63.17,64.03,61.14,-0.86,2.03,8,10,0.8,6,61.8,1.37,0
54.24,54.81,50.05,-0.57,4.2,8,11,0.7273,4,76.43,-22.19,0
71.15,73.01,80.84,-1.86,-9.69,7,9,0.7778,4,79.76,-8.61,0
41.12,33.43,30.25,7.69,10.88,2,3,0.6667,13,59.95,-18.83,1
51.05,51.68,78.08,-0.63,-27.03,5,9,0.5556,3,58.26,-7.21,1
71.23,67.3,62.56,3.92,8.67,12,12,1.0,6,75.12,-3.9,0
25.59,29.06,27.84,-3.48,-2.25,10,13,0.7692,25,75.87,-50.29,1
56.5,53.55,60.08,2.95,-3.58,8,14,0.5714,1,78.17,-21.67,0
34.7,38.85,24.25,-4.15,10.45,11,12,0.9167,17,69.16,-34.46,1
22.17,7.59,9.16,14.57,13.0,6,10,0.6,19,67.83,-45.66,1
23.26,30.23,26.35,-6.97,-3.09,3,3,1.0,8,75.43,-52.17,1
54.58,66.49,60.68,-11.91,-6.1,12,14,0.8571,5,61.99,-7.42,0
81.81,79.64,76.62,2.18,5.2,5,5,1.0,3,72.35,9.47,0
60.38,64.39,69.96,-4.01,-9.58,8,9,0.8889,4,58.73,1.65,0
67.33,57.14,75.98,10.19,-8.65,5,7,0.7143,3,69.62,-2.29,0
88.54,96.3,100.0,-7.76,-12.34,3,6,0.5,6,57.78,30.76,0
92.01,94.64,88.46,-2.63,3.55,4,6,0.6667,1,56.13,35.87,0
75.69,74.21,100.0,1.48,-29.53,5,6,0.8333,1,74.85,0.84,0
77.73,80.19,70.61,-2.46,7.12,7,7,1.0,1,65.86,11.88,0
79.7,79.65,58.66,0.05,21.04,9,9,1.0,6,72.23,7.47,0
76.7,82.41,83.47,-5.71,-6.77,8,12,0.6667,1,76.64,0.06,0
24.41,27.13,15.46,-2.72,8.95,10,12,0.8333,21,78.6,-54.19,1
50.26,46.16,50.81,4.1,-0.55,1,3,0.3333,0,71.31,-21.05,0
81.22,83.38,83.96,-2.16,-2.74,4,4,1.0,2,73.35,7.87,0
72.97,74.22,67.63,-1.25,5.33,9,14,0.6429,0,70.57,2.4,0
90.42,81.24,91.37,9.18,-0.95,4,5,0.8,2,70.84,19.58,0
69.1,66.79,56.28,2.31,12.82,3,6,0.5,6,67.51,1.59,0
23.15,33.16,12.56,-10.01,10.59,11,12,0.9167,26,58.58,-35.44,1
64.08,52.67,61.63,11.41,2.45,6,6,1.0,0,62.7,1.38,0
79.5,88.73,74.42,-9.23,5.07,9,13,0.6923,4,71.55,7.95,0
78.49,71.5,90.94,6.99,-12.46,8,9,0.8889,0,75.79,2.7,0
81.19,82.48,89.92,-1.29,-8.73,8,10,0.8,5,57.96,23.23,0
44.92,52.71,52.5,-7.79,-7.58,6,8,0.75,12,77.36,-32.44,1
93.14,85.15,90.88,7.99,2.27,5,8,0.625,4,79.72,13.42,0
33.65,40.44,34.27,-6.79,-0.62,6,13,0.4615,19,79.42,-45.77,1
54.21,65.98,58.15,-11.78,-3.95,6,7,0.8571,0,65.07,-10.86,0
82.75,87.5,86.74,-4.75,-3.99,5,5,1.0,4,69.46,13.28,0
83.63,80.44,80.01,3.19,3.62,6,8,0.75,5,57.31,26.32,0
82.34,86.86,71.86,-4.53,10.48,4,7,0.5714,5,60.81,21.52,0
39.29,50.13,37.33,-10.84,1.96,8,9,0.8889,24,71.3,-32.01,1
96.82,100.0,97.27,-4.5,-0.45,8,13,0.6154,1,75.5,21.32,0
37.43,43.99,29.09,-6.55,8.35,0,8,0.0,14,58.85,-21.41,1
76.15,80.34,64.52,-4.2,11.62,3,5,0.6,4,55.52,20.63,0
52.73,48.13,42.63,4.6,10.1,9,11,0.8182,5,70.7,-17.97,0
82.45,88.32,96.96,-5.87,-14.51,10,11,0.9091,6,62.95,19.5,0
66.59,67.44,53.19,-0.85,13.4,2,3,0.6667,5,56.53,10.06,0
55.1,55.92,44.5,-0.82,10.6,8,11,0.7273,5,64.68,-9.58,0
71.22,74.37,69.44,-3.16,1.78,5,9,0.5556,1,73.26,-2.04,0
26.92,30.34,34.58,-3.42,-7.66,2,4,0.5,24,62.43,-35.52,1
43.65,43.0,47.83,0.65,-4.18,3,8,0.375,5,56.05,-12.4,1
54.73,56.71,59.87,-1.98,-5.14,4,6,0.6667,3,56.98,-2.25,0
93.58,100.0,100.0,-9.46,-8.03,5,5,1.0,2,65.82,27.77,0
53.87,46.65,50.7,7.21,3.17,6,8,0.75,1,70.75,-16.88,0
87.61,86.43,88.59,1.17,-0.99,3,3,1.0,1,79.69,7.91,0
68.92,61.31,64.57,7.61,4.35,3,5,0.6,1,69.52,-0.6,0
82.27,73.99,83.1,8.27,-0.83,6,8,0.75,6,79.56,2.71,0
48.5,52.55,52.53,-4.05,-4.03,3,4,0.75,11,64.52,-16.02,1
40.98,42.39,32.91,-1.41,8.07,1,7,0.1429,5,75.88,-34.9,1
35.44,39.28,43.61,-3.84,-8.17,4,4,1.0,28,68.87,-33.43,1
80.31,77.51,66.85,2.8,13.46,7,9,0.7778,6,68.53,11.78,0
60.58,53.97,41.23,6.62,19.35,8,8,1.0,6,74.69,-14.11,0
90.19,100.0,82.77,-13.06,7.42,9,9,1.0,2,59.08,31.1,0
27.08,30.31,28.44,-3.23,-1.36,2,8,0.25,7,64.57,-37.49,1
56.98,61.34,56.88,-4.37,0.09,10,10,1.0,2,76.95,-19.98,0
96.07,83.45,90.11,12.62,5.96,2,3,0.6667,2,69.73,26.34,0
71.68,67.8,64.23,3.87,7.45,9,11,0.8182,0,56.48,15.2,0
84.98,86.56,90.0,-1.58,-5.01,10,13,0.7692,6,71.76,13.22,0
69.72,85.56,72.95,-15.85,-3.23,6,6,1.0,0,55.56,14.16,0
51.99,51.67,47.08,0.31,4.91,10,10,1.0,4,59.24,-7.25,0
41.61,39.19,55.08,2.42,-13.46,3,4,0.75,19,65.93,-24.31,1
81.08,83.85,72.0,-2.77,9.08,12,12,1.0,5,75.77,5.31,0
33.98,32.04,34.59,1.94,-0.61,7,9,0.7778,26,59.87,-25.89,1
63.09,67.72,49.12,-4.63,13.97,10,14,0.7143,3,76.66,-13.57,0
44.22,45.72,54.92,-1.5,-10.7,6,8,0.75,26,56.48,-12.26,1
86.91,83.86,70.6,3.05,16.31,11,12,0.9167,0,65.23,21.68,0
64.54,59.02,53.96,5.52,10.58,8,13,0.6154,6,61.1,3.44,0
59.54,65.92,66.69,-6.38,-7.14,8,10,0.8,6,55.63,3.91,0
87.45,97.18,83.11,-9.73,4.34,10,11,0.9091,4,65.31,22.14,0
37.96,38.99,48.59,-1.03,-10.63,4,6,0.6667,26,65.48,-27.52,1
74.66,85.7,74.98,-11.04,-0.32,8,8,1.0,2,69.62,5.04,0
58.37,63.72,58.99,-5.35,-0.62,2,4,0.5,3,65.18,-6.81,0
93.04,91.66,82.29,1.37,10.74,7,11,0.6364,4,75.25,17.78,0
85.99,85.13,77.73,0.87,8.27,3,5,0.6,1,59.53,26.46,0
68.47,56.4,82.16,12.07,-13.69,5,7,0.7143,5,70.39,-1.92,0
23.07,22.65,36.01,0.43,-12.94,1,6,0.1667,28,65.01,-41.94,1
50.67,42.64,38.84,8.02,11.83,7,11,0.6364,3,61.65,-10.98,0
76.76,70.82,64.16,5.94,12.6,4,4,1.0,1,75.4,1.35,0
45.76,48.14,48.91,-2.39,-3.16,5,5,1.0,13,58.44,-12.68,1
51.61,62.49,62.2,-10.88,-10.59,8,14,0.5714,3,67.81,-16.19,1
94.72,87.44,89.92,7.28,4.81,6,7,0.8571,4,62.58,32.14,0
86.76,92.68,89.6,-5.91,-2.84,2,4,0.5,4,65.7,21.06,0
84.85,90.82,88.6,-5.97,-3.75,12,13,0.9231,3,73.63,11.22,0
34.19,39.19,40.57,-5.0,-6.38,8,10,0.8,8,74.88,-40.69,1
86.73,84.31,95.84,2.42,-9.11,5,6,0.8333,5,63.48,23.25,0
37.02,38.77,41.56,-1.75,-4.54,3,14,0.2143,23,76.89,-39.87,1
91.22,88.77,85.71,2.45,5.51,11,11,1.0,1,78.63,12.59,0
65.92,52.59,65.83,13.32,0.09,9,12,0.75,5,62.8,3.12,0
91.35,84.19,100.0,7.16,-12.58,9,13,0.6923,3,62.24,29.11,0
88.56,88.35,86.87,0.2,1.69,9,10,0.9,2,76.83,11.73,0
21.88,23.1,3.81,-1.22,18.07,6,8,0.75,16,59.86,-37.99,1
82.48,89.82,65.53,-7.34,16.95,4,7,0.5714,2,70.11,12.37,0
89.78,86.58,81.38,3.2,8.39,4,5,0.8,6,72.64,17.14,0
56.82,61.5,61.05,-4.69,-4.24,3,4,0.75,5,77.16,-20.34,0
53.65,47.26,39.12,6.39,14.53,8,10,0.8,5,78.55,-24.9,0
87.22,93.36,90.25,-6.14,-3.03,3,6,0.5,4,79.39,7.83,0
67.15,65.46,88.47,1.69,-21.33,8,8,1.0,6,67.64,-0.49,0
56.64,55.35,62.26,1.29,-5.62,10,10,1.0,3,65.55,-8.91,0
59.39,56.41,48.7,2.98,10.7,3,3,1.0,0,61.92,-2.53,0
52.58,45.26,44.62,7.32,7.96,3,3,1.0,0,65.88,-13.3,0
66.56,75.02,70.65,-8.45,-4.09,8,11,0.7273,3,67.82,-1.26,0
89.47,84.49,80.46,4.98,9.01,2,3,0.6667,6,78.22,11.25,0
55.72,68.78,53.93,-13.06,1.78,9,13,0.6923,0,72.97,-17.25,0
21.25,21.88,25.78,-0.64,-4.54,4,4,1.0,21,66.1,-44.86,1
74.43,72.76,74.65,1.66,-0.22,7,10,0.7,1,69.06,5.37,0
87.56,89.0,78.4,-1.44,9.16,4,4,1.0,4,72.66,14.9,0
50.34,58.86,55.51,-8.53,-5.17,4,5,0.8,3,75.69,-25.35,0
30.77,35.47,38.37,-4.69,-7.6,2,9,0.2222,26,68.89,-38.12,1
70.03,64.51,73.05,5.52,-3.01,4,6,0.6667,4,73.44,-3.4,0
90.32,82.71,100.0,7.61,-9.76,7,12,0.5833,5,63.01,27.31,0
47.41,45.51,56.26,1.9,-8.85,0,5,0.0,16,55.52,-8.11,1
52.05,52.61,64.96,-0.55,-12.91,4,7,0.5714,3,66.0,-13.95,0
60.19,62.24,60.17,-2.05,0.02,13,13,1.0,6,59.98,0.21,0
63.87,72.2,79.87,-8.33,-16.0,7,9,0.7778,1,59.19,4.68,1
74.16,70.23,66.05,3.93,8.11,3,6,0.5,5,57.96,16.21,0
88.07,91.8,93.61,-3.73,-5.54,6,9,0.6667,4,78.89,9.18,0
66.91,63.57,68.25,3.34,-1.34,4,4,1.0,1,57.72,9.19,0
68.32,72.34,56.6,-4.02,11.72,5,5,1.0,4,58.65,9.67,0
94.05,92.37,85.43,1.67,8.62,4,4,1.0,6,75.51,18.54,0
82.23,81.1,75.5,1.13,6.72,8,12,0.6667,5,75.36,6.87,0
56.35,60.03,63.45,-3.69,-7.1,9,12,0.75,3,70.02,-13.67,0
67.4,70.32,62.06,-2.92,5.34,8,13,0.6154,1,59.5,7.9,0
50.93,43.15,62.0,7.78,-11.07,5,8,0.625,0,76.34,-25.41,0
67.3,75.87,65.08,-8.57,2.22,1,3,0.3333,4,76.22,-8.92,1
61.79,65.01,51.1,-3.23,10.69,1,3,0.3333,1,79.15,-17.36,0
45.95,39.93,44.74,6.02,1.22,9,10,0.9,17,76.92,-30.96,1
64.47,72.21,60.18,-7.74,4.29,1,3,0.3333,6,55.1,9.37,0
77.99,81.73,76.89,-3.74,1.1,13,13,1.0,3,60.67,17.32,0
